job_title,experience_level,employment_type,company_size,company_location,remote_ratio,salary_currency,years_experience,base_salary,bonus,stock_options,total_salary,salary_in_usd,currency,conversion_rate,adjusted_total_usd
DevOps Engineer,Mid,Part-time,Small,USA,100,USD,13,67902.73096240107,4346,3031,75279.73096240107,75279.73096240107,EUR,1.1,82807.70405864117
Research Scientist,Mid,Full-time,Large,India,100,EUR,20,71586.77911099036,4593,22641,98820.77911099036,108702.8570220894,USD,1.0,98820.77911099036
Data Analyst,,,Small,Germany,100,INR,7,133165.55040153535,7874,3609,144648.55040153535,1735.7826048184245,INR,0.012,1735.7826048184245
Software Engineer,Mid,Contract,Medium,UK,0,USD,0,63961.46704669357,2822,17688,84471.46704669356,84471.46704669356,EUR,1.1,92918.61375136297
Data Analyst,Lead,Full-time,Medium,Canada,0,GBP,1,137634.04007533478,6797,19593,164024.04007533478,213231.2520979352,GBP,1.3,213231.2520979352
Research Scientist,Mid,Full-time,Medium,USA,100,INR,20,72372.39933843898,3549,18010,93931.39933843898,1127.1767920612676,USD,1.0,93931.39933843898
Data Scientist,Lead,Intern,Small,UK,50,GBP,9,134400.99770686615,6012,29995,170407.99770686615,221530.397018926,INR,0.012,2044.895972482394
Software Engineer,Mid,Part-time,Large,India,50,INR,2,68017.09679473605,7052,14817,89886.09679473605,1078.6331615368326,GBP,1.3,116851.92583315689
DevOps Engineer,Junior,Part-time,Small,Remote,100,EUR,4,38705.12501467146,2621,13899,55225.12501467146,60747.63751613861,USD,1.0,55225.12501467146
Research Scientist,Lead,Part-time,Medium,Canada,100,INR,16,116364.96652744958,9876,26816,153056.96652744958,1836.683598329395,CAD,0.75,114792.7248955872
ML Engineer,Junior,Intern,Medium,Canada,50,GBP,6,34922.808798595885,252,26821,61995.808798595885,80594.55143817465,GBP,1.3,80594.55143817465
DevOps Engineer,Mid,Part-time,Small,Canada,100,EUR,6,75984.40668558193,3384,6052,85420.40668558193,939624.4735414012,GBP,1.3,111046.5286912565
ML Engineer,Senior,Part-time,Medium,India,100,GBP,1,112425.2259225467,5977,7727,126129.2259225467,163967.99369931073,INR,0.012,1513.5507110705605
ML Engineer,Senior,Intern,Large,UK,100,GBP,13,102153.3966144707,60,22568,124781.3966144707,162215.8155988119,INR,0.012,1497.3767593736484
Data Scientist,Mid,Full-time,Medium,Canada,100,USD,18,66360.73922347733,5937,9848,82145.73922347733,821457.3922347733,CAD,0.75,61609.304417608
Data Scientist,Junior,Contract,Medium,Remote,100,INR,19,28051.255896250816,7836,9062,44949.25589625082,5393.910707550099,USD,1.0,44949.25589625082
ML Engineer,,,Small,USA,50,GBP,11,1807133.5299288856,1751,28446,139396.7943322562,181215.83263193307,USD,1.0,1837330.5299288856
ML Engineer,Senior,,Medium,Germany,50,INR,15,89321.13142071968,8827,15686,113834.13142071968,1366.0095770486362,EUR,1.1,125217.54456279166
ML Engineer,Mid,Part-time,Large,UK,50,CAD,5,68075.0064072076,2551,25917,96543.0064072076,72407.25480540571,GBP,1.3,125505.9083293699
Data Analyst,Lead,Contract,Medium,UK,0,EUR,19,119493.6788736595,4185,5227,128905.6788736595,141796.24676102545,GBP,1.3,167577.38253575735
Data Analyst,Mid,Contract,Small,Remote,0,USD,5,76554.96587767196,1522,28774,106850.96587767196,106850.96587767196,EUR,1.1,117536.06246543916
Data Scientist,Junior,Full-time,Medium,India,50,INR,1,39399.42919083446,6639,20741,66779.42919083446,801.3531502900136,EUR,1.1,73457.37210991791
Data Scientist,Lead,Part-time,Large,UK,100,INR,9,144155.09997722117,2167,5239,151561.09997722117,1818.733199726654,USD,1.0,151561.09997722117
Data Analyst,Senior,Full-time,Medium,India,50,USD,6,91249.2314751784,4516,6774,102539.2314751784,102539.2314751784,EUR,1.1,112793.15462269624
Data Scientist,Lead,Intern,Medium,Germany,100,EUR,8,123168.55496982292,9828,1868,134864.55496982293,1483510.1046680522,GBP,1.3,175323.9214607698
Research Scientist,Senior,Part-time,Small,Germany,50,CAD,16,104914.299839713,9727,25144,139785.29983971303,104838.97487978476,CAD,0.75,104838.97487978474
Software Engineer,Lead,Intern,Large,Germany,0,CAD,16,141624.79507930987,5843,3881,151348.79507930987,113511.5963094824,INR,0.012,1816.1855409517184
DevOps Engineer,Senior,Contract,Large,Remote,50,CAD,0,78725.49204818801,3775,3546,86046.49204818801,64534.86903614101,EUR,1.1,94651.14125300682
DevOps Engineer,Mid,Full-time,Medium,Germany,0,GBP,19,65382.986899316296,8999,8817,83198.9868993163,108158.6829691112,USD,1.0,83198.9868993163
DevOps Engineer,Mid,Full-time,Small,India,0,USD,13,81322.64401983997,1671,6017,89010.64401983997,89010.64401983997,EUR,1.1,97911.70842182398
Software Engineer,Junior,Full-time,Medium,Canada,50,INR,9,57800.23466465135,9794,27637,95231.23466465136,1142.7748159758162,INR,0.012,1142.7748159758162
Data Scientist,Senior,Intern,Large,USA,50,CAD,9,108073.29455968503,3607,25486,137166.29455968505,102874.7209197638,INR,0.012,1645.9955347162206
Research Scientist,Mid,Full-time,Small,India,100,USD,19,70660.14060596777,5241,2179,78080.14060596777,78080.14060596777,GBP,1.3,101504.18278775812
ML Engineer,,,Small,India,50,INR,19,2628557.8617147426,4331,26898,62229.51674761069,746.7542009713283,INR,0.012,31917.442340576912
DevOps Engineer,Senior,Full-time,Small,Canada,100,GBP,5,119535.32207828248,7601,23111,150247.32207828248,195321.51870176723,INR,0.012,1802.9678649393895
Data Scientist,Junior,Part-time,Medium,USA,100,GBP,6,35139.48320823292,2580,2584,40303.48320823292,52394.5281707028,EUR,1.1,44333.83152905622
Data Analyst,Mid,Part-time,Medium,USA,0,USD,4,61313.56531743728,8170,6473,75956.56531743729,75956.56531743729,GBP,1.3,98743.53491266847
ML Engineer,Mid,,Large,UK,100,GBP,2,76998.28421322063,2319,25153,104470.28421322064,135811.36947718682,INR,0.012,1253.6434105586477
Software Engineer,,,Small,India,50,USD,2,138590.16064749993,7106,734,146430.16064749993,146430.16064749993,USD,1.0,146430.16064749993
Data Analyst,Mid,Part-time,Large,USA,50,GBP,15,80828.97147586425,1741,24479,107048.97147586424,139163.66291862354,CAD,0.75,80286.72860689819
Data Analyst,Junior,Full-time,Small,USA,0,GBP,5,41468.84438801056,8160,6404,56032.84438801056,72842.69770441373,GBP,1.3,72842.69770441373
ML Engineer,Lead,Intern,Large,Canada,50,CAD,12,125548.39306562448,3530,6620,135698.39306562446,101773.79479921836,CAD,0.75,101773.79479921836
Research Scientist,Mid,Intern,Small,USA,0,EUR,12,69908.82550113932,5834,25015,100757.82550113932,110833.60805125326,EUR,1.1,110833.60805125326
ML Engineer,Senior,Part-time,Small,USA,0,CAD,15,96897.78952553312,7350,24932,129179.78952553312,96884.84214414984,INR,0.012,1550.1574743063975
Data Analyst,Senior,Part-time,Medium,Canada,100,EUR,1,104562.32217266865,1429,23660,129651.32217266865,142616.4543899355,EUR,1.1,142616.45438993553
ML Engineer,Junior,Intern,Small,USA,0,EUR,4,45246.54941843003,9039,5798,60083.54941843003,66091.90436027304,GBP,1.3,78108.61424395905
DevOps Engineer,Junior,Contract,Large,Canada,100,INR,15,44688.86566189475,5683,22226,72597.86566189476,871.1743879427371,USD,1.0,72597.86566189476
Software Engineer,Lead,Contract,Medium,Remote,50,GBP,12,123730.31137949169,6001,1181,130912.31137949169,170186.00479333918,INR,0.012,1570.9477365539003
Data Scientist,Senior,Intern,Small,Remote,50,USD,9,93781.49956294248,2137,17355,113273.49956294248,113273.49956294248,GBP,1.3,147255.54943182523
Data Analyst,Lead,Part-time,Small,Germany,0,USD,0,124925.50569561048,184,16329,141438.50569561048,141438.50569561048,EUR,1.1,155582.35626517155
Research Scientist,,,Small,Canada,0,GBP,8,2299988.1290004,9044,6721,138962.18655801687,180650.842525422,USD,1.0,2315753.1290004
Data Analyst,,,Medium,Canada,0,GBP,13,125053.15908701856,1802,1177,128032.15908701856,166441.80681312413,EUR,1.1,140835.37499572043
Data Scientist,Senior,Part-time,Large,Germany,100,GBP,16,109149.620730248,307,27486,136942.620730248,178025.40694932238,GBP,1.3,178025.40694932238
Data Analyst,Junior,Intern,Small,India,50,EUR,0,35085.757984341355,1276,18878,55239.75798434136,60763.7337827755,CAD,0.75,41429.818488256016
Data Analyst,Senior,Part-time,Medium,Germany,50,INR,13,91286.41444877736,9687,8215,109188.41444877736,1310.2609733853285,EUR,1.1,120107.2558936551
DevOps Engineer,Junior,Part-time,Medium,India,100,GBP,14,46296.71922619104,4205,17349,67850.71922619104,88205.93499404835,CAD,0.75,50888.03941964328
ML Engineer,Senior,Intern,Small,Remote,100,INR,4,87625.70473243915,2938,18306,108869.70473243916,1306.43645678927,USD,1.0,108869.70473243916
DevOps Engineer,Lead,Contract,Medium,Remote,100,EUR,19,118387.58852526368,1263,4719,124369.58852526368,136806.54737779003,USD,1.0,124369.58852526368
Research Scientist,,,Medium,Canada,50,GBP,19,39249.40449385455,4619,21502,65370.40449385455,84981.52584201092,INR,0.012,784.4448539262546
ML Engineer,Senior,Full-time,Large,Canada,0,GBP,20,81872.21408376846,3529,20190,105591.21408376846,137268.57830889898,USD,1.0,105591.21408376846
Data Scientist,,,Small,UK,0,USD,20,1149994.0645002,3815,8153,133092.2884901673,133092.2884901673,USD,1.0,1161962.0645002
Research Scientist,Mid,Contract,Medium,Canada,0,GBP,6,62805.08184178253,3043,13271,79119.08184178252,102854.80639431727,USD,1.0,79119.08184178252
DevOps Engineer,Mid,Full-time,Large,USA,50,GBP,17,70236.36936478566,9730,3273,83239.36936478566,108211.18017422136,EUR,1.1,91563.30630126422
Research Scientist,Senior,Intern,Large,UK,0,GBP,18,90098.4092541658,6715,5201,102014.4092541658,132618.73203041553,CAD,0.75,76510.80694062434
ML Engineer,,,Medium,Remote,50,USD,0,2628557.8617147426,6472,10711,88592.3229441523,88592.3229441523,USD,1.0,2645740.8617147426
Data Analyst,,,Small,Canada,50,GBP,15,1314278.9308573713,3925,15450,65404.82024243155,85026.26631516102,INR,0.012,16003.847170288456
DevOps Engineer,,,Large,Germany,0,EUR,8,117625.2250406456,1142,29549,148316.2250406456,163147.84754471018,INR,0.012,1779.7947004877471
Software Engineer,Senior,Contract,Large,USA,50,CAD,10,98363.6403696484,3313,9594,111270.6403696484,83452.9802772363,USD,1.0,111270.6403696484
ML Engineer,Lead,Full-time,Medium,Remote,50,USD,18,133650.2828228384,8002,23803,165455.2828228384,165455.2828228384,GBP,1.3,215091.86766968996
Software Engineer,,,Large,Canada,50,CAD,14,3121412.460786257,4328,10416,95774.70655565614,71831.0299167421,INR,0.012,37633.877529435085
Software Engineer,Junior,Full-time,Small,Canada,50,CAD,9,30220.756581489804,9143,10043,49406.756581489804,37055.06743611735,USD,1.0,49406.756581489804
ML Engineer,Mid,Part-time,Large,Remote,0,CAD,20,68860.91247957475,9595,24499,102954.91247957476,77216.18435968106,EUR,1.1,113250.40372753223
Data Scientist,Senior,Intern,Medium,Remote,100,EUR,15,130092.62711559338,1507,17614,149213.62711559338,164134.98982715272,CAD,0.75,111910.22033669504
Software Engineer,Senior,Full-time,Medium,UK,100,CAD,7,105735.17738012865,4839,1856,112430.17738012865,84322.63303509647,USD,1.0,112430.17738012865
Data Analyst,Junior,Intern,Medium,UK,0,CAD,14,45012.11434365242,957,19066,65035.11434365242,48776.33575773932,CAD,0.75,48776.33575773932
Software Engineer,Lead,Contract,Small,UK,50,USD,18,132671.7549257981,4945,6373,143989.7549257981,143989.7549257981,EUR,1.1,158388.73041837793
Software Engineer,Lead,Contract,Large,Germany,100,CAD,9,130714.9515923987,7724,9864,148302.9515923987,111227.21369429902,EUR,1.1,163133.24675163857
Data Scientist,,,Medium,UK,50,USD,10,985709.1981430284,6230,8622,116038.35835378918,116038.35835378918,EUR,1.1,1100617.3179573314
Software Engineer,,,Medium,Canada,50,CAD,18,2135703.2626432283,2396,15434,53646.61843510075,40234.96382632556,EUR,1.1,2368886.5889075515
DevOps Engineer,Lead,Part-time,Medium,Remote,0,CAD,11,134177.38496801243,3561,19809,157547.38496801243,118160.53872600933,INR,0.012,1890.568619616149
Data Analyst,Junior,Contract,Large,Germany,50,EUR,4,27031.70458366396,6942,2315,36288.70458366396,39917.57504203036,CAD,0.75,27216.52843774797
Software Engineer,Junior,Intern,Medium,India,0,GBP,18,33327.00134086661,6895,22197,62419.00134086661,81144.7017431266,EUR,1.1,68660.90147495328
Data Scientist,Junior,Intern,Large,UK,50,USD,6,46037.09117230077,7705,11583,65325.09117230077,65325.09117230077,EUR,1.1,71857.60028953085
Research Scientist,Senior,Part-time,Large,Germany,100,CAD,0,105387.81184773643,474,25346,131207.81184773642,98405.85888580231,GBP,1.3,170570.15540205734
Research Scientist,Junior,Intern,Large,Remote,50,CAD,5,41953.84312314884,3426,25513,70892.84312314884,53169.63234236163,EUR,1.1,77982.12743546373
DevOps Engineer,Lead,Full-time,Medium,India,100,EUR,0,132922.20692637493,7885,13158,153965.20692637493,169361.72761901244,USD,1.0,153965.20692637493
DevOps Engineer,Senior,Part-time,Medium,Remote,0,INR,20,121565.8284735094,1709,17478,140752.8284735094,1689.033941682113,INR,0.012,1689.033941682113
ML Engineer,,,Large,Remote,0,GBP,14,2299988.1290004,2768,3521,134248.0619741416,174522.4805663841,GBP,1.3,2998160.26770052
Research Scientist,Mid,Contract,Small,Remote,100,EUR,8,79236.22404874791,1446,790,81472.22404874791,89619.44645362272,EUR,1.1,89619.44645362272
ML Engineer,Lead,Full-time,Large,Germany,0,GBP,17,137696.160535706,4560,16267,158523.160535706,206080.10869641785,CAD,0.75,118892.37040177952
Research Scientist,,,Medium,USA,0,INR,9,1807133.5299288856,8864,14823,91435.13291729284,1097.2215950075142,GBP,1.3,2380066.688907552
DevOps Engineer,,,Small,Canada,0,EUR,5,50750.19182787953,4916,18585,74251.19182787952,81676.31101066747,EUR,1.1,81676.31101066747
ML Engineer,Lead,Contract,Medium,Germany,50,EUR,9,107146.72018055792,9411,13736,130293.72018055792,143323.09219861374,USD,1.0,130293.72018055792
Data Scientist,Mid,Contract,Large,India,50,CAD,1,65977.68718786859,8199,25340,99516.6871878686,74637.51539090145,GBP,1.3,129371.69334422918
ML Engineer,Senior,Contract,Small,Germany,50,EUR,20,118916.11604987628,1446,1786,122148.11604987628,134362.92765486392,CAD,0.75,91611.0870374072
ML Engineer,Lead,Intern,Large,Canada,50,CAD,12,125548.39306562448,3530,6620,135698.39306562446,101773.79479921836,GBP,1.3,176407.9109853118
DevOps Engineer,Lead,Contract,Medium,Remote,100,USD,11,138650.28652318288,6971,2829,148450.28652318288,148450.28652318288,GBP,1.3,192985.3724801377
ML Engineer,,,Large,UK,0,CAD,16,1807133.5299288856,3478,1044,141821.19487719244,106365.89615789433,INR,0.012,21739.86635914663
Software Engineer,,,Small,Germany,0,INR,7,2957127.594429085,5587,29572,105003.6936975684,1260.0443243708207,EUR,1.1,3291515.253871994
Software Engineer,Junior,Part-time,Small,UK,0,USD,20,47636.144708666434,1002,16580,65218.144708666434,65218.144708666434,INR,0.012,782.6177365039972
ML Engineer,Mid,Intern,Large,Germany,0,INR,15,58639.98840076292,5945,941,65525.98840076292,786.311860809155,CAD,0.75,49144.49130057219
Data Analyst,Mid,Full-time,Medium,USA,50,USD,11,62270.03676361851,8356,11148,81774.03676361851,81774.03676361851,USD,1.0,81774.03676361851
Research Scientist,Lead,Contract,Large,UK,50,GBP,18,126424.78005767315,7721,26475,160620.78005767317,208807.0140749752,USD,1.0,160620.78005767317
Data Analyst,Senior,,Medium,USA,0,GBP,8,85387.66538859277,2039,25489,112915.66538859277,146790.3650051706,CAD,0.75,84686.74904144458
DevOps Engineer,Lead,,Large,Remote,50,CAD,2,129088.21585605064,7912,23118,160118.2158560507,120088.661892038,EUR,1.1,176130.0374416557
DevOps Engineer,,,Small,India,50,USD,10,140710.04077319862,297,7391,148398.04077319862,148398.04077319862,GBP,1.3,192917.45300515823
Software Engineer,Lead,Part-time,Small,Remote,0,CAD,19,114672.27793013684,5647,25157,145476.27793013683,109107.20844760262,USD,1.0,145476.27793013683
ML Engineer,Mid,Part-time,Large,USA,50,EUR,12,71789.66938067267,2683,18994,93466.66938067268,102813.33631873994,CAD,0.75,70100.0020355045
DevOps Engineer,Mid,Part-time,Large,Germany,0,USD,3,77001.18702392656,5160,19402,101563.18702392656,101563.18702392656,INR,0.012,1218.7582442871187
Software Engineer,Junior,Intern,Medium,Remote,0,EUR,14,39845.747109677744,3018,22108,64971.747109677744,71468.92182064553,INR,0.012,779.660965316133
Software Engineer,,,Medium,UK,0,EUR,4,48475.79035360202,1936,7758,58169.79035360202,63986.769388962224,INR,0.012,698.0374842432242
Data Scientist,Senior,Intern,Small,India,0,INR,13,87317.94568637971,1182,10227,98726.94568637972,1184.7233482365566,EUR,1.1,108599.64025501769
Research Scientist,,,Small,Canada,100,EUR,17,3121412.460786257,4053,16001,130344.98452830334,143379.48298113368,GBP,1.3,4083906.399022134
Software Engineer,Mid,Contract,Large,India,50,USD,5,73883.06208333962,8154,9692,91729.06208333962,91729.06208333962,EUR,1.1,100901.9682916736
Research Scientist,,,Small,Germany,0,EUR,12,1971418.3962860568,1286,8653,105093.92807841473,115603.3208862562,CAD,0.75,1486018.0472145425
DevOps Engineer,Lead,Full-time,Small,India,100,USD,6,120454.20919411916,2654,9938,133046.20919411915,133046.20919411915,USD,1.0,133046.20919411915
DevOps Engineer,Lead,Intern,Large,UK,50,GBP,10,118991.13365292783,9261,22185,150437.13365292782,195568.27374880612,EUR,1.1,165480.8470182206
ML Engineer,Lead,Contract,Medium,Remote,0,CAD,12,125809.3437673712,8893,10552,145254.3437673712,108940.7578255284,USD,1.0,145254.3437673712
Software Engineer,Lead,Intern,Small,USA,0,INR,20,121207.34433212488,5963,14479,141649.34433212486,1699.7921319854984,USD,1.0,141649.34433212486
Software Engineer,Senior,Intern,Medium,Germany,50,USD,15,105779.48464952002,2854,27916,136549.48464952002,136549.48464952002,EUR,1.1,150204.43311447202
Data Scientist,Mid,Part-time,Small,Remote,0,INR,15,73685.21478363324,7866,12845,94396.21478363324,1132.754577403599,EUR,1.1,103835.83626199658
Research Scientist,,,Medium,Germany,0,USD,8,2957127.594429085,5522,21594,86312.2972698815,86312.2972698815,EUR,1.1,3282667.9538719943
DevOps Engineer,Mid,Intern,Medium,India,50,USD,17,81675.52919598694,1357,10950,93982.52919598694,93982.52919598694,GBP,1.3,122177.28795478302
Research Scientist,Junior,Intern,Medium,Germany,0,EUR,4,47445.81739755404,6137,14639,68221.81739755404,75043.99913730945,CAD,0.75,51166.36304816553
Research Scientist,,,Small,UK,100,INR,11,3121412.460786257,3665,6270,111217.99075932242,1334.6158891118691,CAD,0.75,2348510.5955896927
Research Scientist,Junior,Full-time,Small,Germany,50,USD,19,44507.358252235616,7709,7917,60133.358252235616,60133.358252235616,EUR,1.1,66146.69407745918
Research Scientist,Lead,Part-time,Medium,Remote,0,INR,17,142293.20450017168,7886,9828,160007.20450017168,1920.08645400206,USD,1.0,160007.20450017168
ML Engineer,Senior,Full-time,Medium,Remote,0,EUR,14,111313.9246394138,450,16766,128529.9246394138,141382.9171033552,USD,1.0,128529.9246394138
Data Analyst,Mid,Part-time,Small,India,50,EUR,19,77097.41782194792,4273,1210,82580.41782194792,90838.45960414271,EUR,1.1,90838.45960414271
DevOps Engineer,Senior,Part-time,Large,USA,50,CAD,14,87964.64097900345,7790,10519,106273.64097900344,79705.23073425259,GBP,1.3,138155.7332727045
Software Engineer,Junior,Intern,Medium,UK,0,GBP,9,28671.76856879173,1170,6849,36690.768568791726,47697.999139429245,CAD,0.75,27518.076426593798
Data Analyst,Mid,Part-time,Small,Remote,100,CAD,15,72518.75843318806,6039,7347,85904.75843318806,64428.568824891045,CAD,0.75,64428.568824891045
ML Engineer,Junior,Contract,Small,India,50,USD,5,48385.06985165587,4482,29858,82725.06985165586,82725.06985165586,GBP,1.3,107542.59080715262
Software Engineer,Junior,Full-time,Large,Canada,0,INR,3,50140.775386017456,1002,25141,76283.77538601746,915.4053046322095,GBP,1.3,99168.9080018227
ML Engineer,Lead,Contract,Large,India,0,CAD,16,128054.80505400556,1063,12792,141909.80505400556,106432.35379050416,EUR,1.1,156100.78555940613
DevOps Engineer,,,Medium,UK,100,GBP,19,55066.0018656017,4389,17128,76583.00186560169,99557.9024252822,USD,1.0,76583.00186560169
Data Scientist,Junior,Contract,Medium,Remote,50,INR,15,43079.116915538325,5926,19681,68686.11691553832,824.23340298646,USD,1.0,68686.11691553832
Software Engineer,Mid,Part-time,Medium,Remote,50,EUR,11,62270.24828980178,334,177,62781.24828980178,69059.37311878196,CAD,0.75,47085.93621735134
ML Engineer,Mid,Intern,Small,Canada,0,USD,10,61497.81417530641,7007,3885,72389.81417530641,72389.81417530641,GBP,1.3,94106.75842789834
Data Analyst,Mid,Contract,Medium,Canada,0,CAD,7,63382.30039600433,547,27628,91557.30039600431,68667.97529700324,GBP,1.3,119024.49051480564
Research Scientist,Mid,,Medium,Remote,100,INR,10,68023.87400614725,9226,4480,81729.87400614725,980.758488073767,CAD,0.75,61297.40550461043
Software Engineer,Mid,Intern,Small,USA,100,CAD,2,74606.31193434799,8967,23356,106929.311934348,80196.983950761,CAD,0.75,80196.983950761
ML Engineer,,,Large,USA,0,USD,19,113257.29789202924,8779,20247,142283.29789202922,142283.29789202922,INR,0.012,1707.3995747043507
Software Engineer,Lead,Part-time,Medium,India,100,INR,5,138359.1485815333,2854,12373,153586.1485815333,1843.0337829784,INR,0.012,1843.0337829784
Data Scientist,Senior,Part-time,Small,Remote,0,CAD,9,110176.28564381838,5854,145,116175.28564381838,87131.46423286379,GBP,1.3,151027.8713369639
ML Engineer,,,Small,UK,0,GBP,17,1971418.3962860568,616,9324,131429.26636733764,170858.04627753893,GBP,1.3,2575765.9151718738
Research Scientist,Mid,Part-time,Small,Remote,100,CAD,10,75111.5140432084,6786,15388,97285.5140432084,72964.1355324063,USD,1.0,97285.5140432084
ML Engineer,Mid,Full-time,Large,Remote,0,EUR,19,69980.35533597224,2656,14988,87624.35533597224,96386.79086956948,GBP,1.3,113911.66193676392
